Year,Age,Incidence,Inc_LCI,Inc_UCI,CoB
2002,4,23.563787171874264,7.65109755463698,54.99001875358248,Non-UK born
2003,4,12.009126936471718,1.4543609856128557,43.381095639029425,Non-UK born
2004,4,35.627338044059144,13.074605151064972,77.54571594631368,Non-UK born
2005,4,37.41892566106769,17.11031555537308,71.03277669806741,Non-UK born
2006,4,15.517709586065095,4.228053588960412,39.73149969121192,Non-UK born
2007,4,24.43878085396083,9.825657408511214,50.35322892749494,Non-UK born
2008,4,22.251891410769915,8.946414430414736,45.84740085734114,Non-UK born
2009,4,11.639185257032008,2.400279817247727,34.014638485906204,Non-UK born
2010,4,10.52133200063128,1.2741821165972171,38.00666877649513,Non-UK born
2011,4,20.752054453390887,6.738135594415294,48.428372538070334,Non-UK born
2012,4,9.023370529671851,1.860835933755231,26.37011781436618,Non-UK born
2013,4,6.815238874122538,0.825357045403002,24.618986123233014,Non-UK born
2014,4,16.08104848436118,5.90146137463711,35.001672489396384,Non-UK born
2015,4,3.5203830176723225,0.0891283812725829,19.614318773987527,Non-UK born
2016,4,0,0,10.435302557606606,Non-UK born
2000,5,15.760441292356187,3.2501818907045004,46.058697503243096,Non-UK born
2001,5,11.508804235239959,1.3937695853605996,41.57375801429371,Non-UK born
2002,5,32.928779753504564,13.239077295699818,67.8458714916849,Non-UK born
2003,5,13.814062715844731,3.7638671557754013,35.36948706797796,Non-UK born
2004,5,47.961630695443645,24.78247445532461,83.77931673931637,Non-UK born
2005,5,16.347882949158084,4.454247889595902,41.85707321973066,Non-UK born
2006,5,26.20741295394983,10.536739241931363,53.997287014984565,Non-UK born
2007,5,3.2209231165652072,0.08154671299735851,17.945834995132852,Non-UK born
2008,5,11.591850928797056,3.1583892358835173,29.67974229983394,Non-UK born
2009,5,14.24349250436207,3.8808723200025823,36.46899788271801,Non-UK born
2010,5,7.495128166691651,0.9076947929244678,27.07498001695383,Non-UK born
2011,5,9.462528387585163,1.9514008418357356,27.653523434715883,Non-UK born
2012,5,20.633446817290828,8.908057816848507,40.656115805718855,Non-UK born
2013,5,8.606839568510443,1.7749372357574067,25.152837588198082,Non-UK born
2014,5,5.21907048354688,0.6320536482449961,18.853077079731634,Non-UK born
