Year,Age group,Incidence,Inc_LCI,Inc_UCI,CoB
2012,55-59,12.664552609837786,11.429377897749582,13.996820236296948,Total (LFS)
2013,55-59,11.322071861513594,10.166850980818145,12.572601129764067,Total (LFS)
2014,55-59,10.625349237204281,9.519477829288132,11.824424478274297,Total (LFS)
2015,55-59,8.493533374508505,7.52095862565446,9.556975573691679,Total (LFS)
2016,55-59,0,0,0.11029151379717285,Total (LFS)
2000,60-64,14.530137927751811,13.043450783885032,16.139847854702086,Total (LFS)
2001,60-64,13.218371270058878,11.798789926330885,14.761704305932318,Total (LFS)
2002,60-64,11.912946562464738,10.567589383162398,13.382128945170596,Total (LFS)
2003,60-64,10.509890425118884,9.259400200841002,11.88217593116827,Total (LFS)
2004,60-64,10.435082748199447,9.205110678465049,11.78363429419439,Total (LFS)
2005,60-64,10.238446808154476,9.038337913494269,11.553560294258386,Total (LFS)
2006,60-64,9.89610952192455,8.74037646556383,11.162154516913427,Total (LFS)
2007,60-64,8.82642472340408,7.7762370063597706,9.97889865302893,Total (LFS)
2008,60-64,8.060264350243592,7.0805543136637725,9.137637148484478,Total (LFS)
2009,60-64,9.576960421593327,8.51690788061716,10.732484097046996,Total (LFS)
2010,60-64,9.550527882271059,8.498561752530563,10.696737396200474,Total (LFS)
2011,60-64,10.338037935827822,9.244519179190556,11.52533763014044,Total (LFS)
2012,60-64,10.304008126206151,9.188780947336005,11.517272851412221,Total (LFS)
2013,60-64,9.865339818286586,8.760614206325176,11.070816441067532,Total (LFS)
2014,60-64,9.793633655339272,8.687615485898103,11.00144852747471,Total (LFS)
2015,60-64,9.009486642916274,7.947548065060319,10.173804879206441,Total (LFS)
2016,60-64,0,0,0.1269373531858716,Total (LFS)
2000,65-69,14.839059203646489,13.252745624328039,16.562974930766632,Total (LFS)
2001,65-69,12.640285008108906,11.179994405288667,14.238326619262725,Total (LFS)
2002,65-69,13.677531108269482,12.16110741106853,15.330770443831895,Total (LFS)
2003,65-69,12.866082396955731,11.405584155881098,14.461754561400717,Total (LFS)
2004,65-69,11.468190220252463,10.10108171069525,12.968727972664212,Total (LFS)
2005,65-69,13.625101740068915,12.13636419000438,15.246058079272421,Total (LFS)
2006,65-69,12.482582049232931,11.053230616056837,14.04547748045137,Total (LFS)
2007,65-69,13.006573287298494,11.547639975210082,14.598803502020806,Total (LFS)
2008,65-69,11.097984146242249,9.767378180279009,12.559271284942147,Total (LFS)
2009,65-69,13.351906177182363,11.911303850035205,14.918723442091775,Total (LFS)
2010,65-69,10.044485081666211,8.82116929841567,11.390011644430851,Total (LFS)
2011,65-69,10.07557471275722,8.876760341470199,11.391151239643607,Total (LFS)
2012,65-69,10.022154044138873,8.874540498319497,11.276988877570997,Total (LFS)
2013,65-69,8.760700260431726,7.714352358671682,9.909383504346163,Total (LFS)
2014,65-69,8.065639393396138,7.07340145073879,9.158095055822198,Total (LFS)
2015,65-69,7.354231608153168,6.414476541144918,8.392924785653642,Total (LFS)
2016,65-69,0,0,0.12262673297327305,Total (LFS)
2000,70-74,16.141327212819753,14.394313178058818,18.041918000934125,Total (LFS)
2001,70-74,14.068494359623939,12.443207422184708,15.84709661254303,Total (LFS)
2002,70-74,14.426704556659065,12.780507736116064,16.226123219305336,Total (LFS)
